asl_gloss,sentence
MEMBERSHIP COMMITTEE VOTE,membership of committees vote

AMENDMENT ACP EC PARTNERSHIP AGREEMENT VOTE,amendment of the acp ec partnership agreement vote

CERTIFICATION TRAIN DRIVER OPERATE LOCOMOTIVE AND TRAIN ON RAILWAY SYSTEM IN COMMUNITY VOTE,certification of train drivers operating locomotives and trains on the railway system in the community vote

LAW DESC-APPLICABLE TO NON DESC-CONTRACTUAL OBLIGATION ROME IUS VOTE,law applicable to non contractual obligations rome ii vote

DESC-SEVENTH AND DESC-EIGHTH DESC-ANNUAL REPORT ON ARM EXPORT VOTE,seventh and eighth annual reports on arms exports vote

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

REQUEST FOR WAIVER DESC-PARLIAMENTARY IMMUNITY SEE MINUTE,request for waiver of parliamentary immunity see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

WRITE STATEMENT FOR ENTRY IN REGISTER RULE 116 SEE MINUTE,written statements for entry in the register rule 116 see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

ADJOURNMENT SESSION,adjournment of the session

X-I DECLARE SESSION EUROPEAN PARLIAMENT ADJOURN .,i declare the session of the european parliament adjourned .

SIT BE DESC-CLOSE AT 1 DESC-P.M.,the sitting was closed at 1 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

REQUEST FOR DEFENSE DESC-PARLIAMENTARY IMMUNITY SEE MINUTE,request for the defence of parliamentary immunity see minutes

APPOINTMENT TO COMMITTEE PROPOSAL BY CONFERENCE PRESIDENT SEE MINUTE,appointments to committees proposal by the conference of presidents see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

ACTION TAKE ON PARLIAMENT X-POSS RESOLUTION SEE MINUTE,action taken on parliament's resolutions see minutes

DESC-ORAL QUESTION AND WRITE STATEMENT TABLE SEE MINUTE,oral questions and written statements tabling see minutes

WRITE STATEMENT RULE 116 SEE MINUTE,written statements rule 116 see minutes

AGENDA SEE MINUTE,agenda see minutes

APPOINTMENT TO DESC-PARLIAMENTARY COMMITTEE VOTE SEE MINUTE,appointments to parliamentary committees vote see minutes

VOTE TIME,voting time

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 12 MIDNIGHT,the sitting was closed at 12 midnight

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 09.05,the sitting was opened at 09.05

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

PROTECTION PASSENGER AGAINST DISPLACE LUGGAGE VOTE,protection of passengers against displaced luggage vote

APPROVAL MOTOR VEHICLE WITH REGARD TO DESC-FORWARD FIELD VISION DRIVER VOTE,approval of motor vehicles with regard to the forward field of vision of the driver vote

EC KOREA AGREEMENT ON DESC-SCIENTIFIC AND DESC-TECHNOLOGICAL COOPERATION VOTE,ec korea agreement on scientific and technological cooperation vote

MAINSTREAM SUSTAINABILITY IN DEVELOPMENT COOPERATION POLICY VOTE,mainstreaming sustainability in development cooperation policies vote

DRAFT AMEND BUDGET NO 1 2007 VOTE,draft amending budget no 1 / 2007 vote

EC GABON FISHERY PARTNERSHIP VOTE,ec gabon fisheries partnership vote

LIMITATION PERIOD IN CROSS BORDER DISPUTE INVOLVE DESC-PERSONAL INJURY AND DESC-FATAL ACCIDENT VOTE,limitation periods in cross border disputes involving personal injuries and fatal accidents vote

STRATEGY FOR STRENGN PARTNERSHIP WITH PACIFIC ISLAND VOTE,strategy for a strengthened partnership with the pacific islands vote

EUROPEAN DESC-PRIVATE COMPANY STATUTE VOTE,the european private company statute vote

THAT CONCLUDE VOTE .,that concludes the vote .

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

ASSIGNMENT CONFER ON MEMBER SEE MINUTE,assignment conferred on a member see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

WRITE STATEMENT RULE 116 SEE MINUTE,written statements rule 116 see minutes

ACTION TAKE ON PARLIAMENT X-POSS POSITION AND RESOLUTION SEE MINUTE,action taken on parliament's positions and resolutions see minutes

PETITION SEE MINUTE,petitions see minutes

DESC-ORAL QUESTION AND WRITE STATEMENT TABLE SEE MINUTE,oral questions and written statements tabling see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 10.05 DESC-P.M.,the sitting was closed at 10.05 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 10.05 DESC-A.M.,the sitting was opened at 10.05 a.m.

CLASSIFICATION WOOD VOTE,classification of wood vote

INFRASTRUCTURE FOR SPATIAL INFORMATION IN EUROPEAN COMMUNITY INSPIRE VOTE,infrastructure for spatial information in the european community inspire vote

WASTE RECYCLE VOTE,waste recycling vote

WOMAN IN TURKEY VOTE,women in turkey vote

THAT CONCLUDE VOTE .,that concludes the vote .

VOTE TIME,voting time

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 1.10 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 1.10 p.m. and resumed at 3 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MINUTE DESC-PREVIOUS SIT BE APPROVE .,the minutes of the previous sitting were approved .

ANNOUNCEMENT BY PRESIDENT SEE MINUTE,announcement by the president see minutes

SIT BE SUSPEND AT 7.05 DESC-P.M. AND RESUME AT 9.00 DESC-P.M.,the sitting was suspended at 7.05 p.m. and resumed at 9.00 p.m.

CLIMATE CHANGE MOTION FOR RESOLUTION TABLE SEE MINUTE,climate change motions for resolutions tabled see minutes

SWIFT MOTION FOR RESOLUTION TABLE SEE MINUTE,swift motions for resolutions tabled see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT MIDNIGHT,the sitting was closed at midnight

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9 DESC-A.M.,the sitting was opened at 9 a.m.

MACRO DESC-FINANCIAL AID FOR MOLDOVA VOTE,macro financial aid for moldova vote

CONSERVATION STOCK DESC-HIGHLY DESC-MIGRATORY SPECIES VOTE,conservation of stocks of highly migratory species vote

DRIFT NET VOTE,drift nets vote

COURT AUDITORSSPECIAL REPORT NO 6 2005 ON TRAN EUROPEAN NETWORK FOR TRANSPORT VOTE,the court of auditorsspecial report no 6 / 2005 on the trans european network for transport vote

RADIO SPECTRUM VOTE,radio spectrum vote

THAT CONCLUDE VOTE .,that concludes the vote .

VOTE TIME CONTINUE,voting time continued

NEXT ITEM BE VOTE TIME .,the next item is voting time .

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 2 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 2 p.m. and resumed at 3 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

AGENDA FOR NEXT PART SESSION SEE MINUTE,agenda for next part session see minutes

CLOSURE SIT,closure of sitting

SIT DESC-CLOSE AT 23.15,the sitting closed at 23.15

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 10 DESC-A.M.,the sitting was opened at 10 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

SHAREHOLDERSVOTE RIGHTS VOTE,shareholdersvoting rights vote

BUDGET AID FOR DEVELOP COUNTRY VOTE,budget aid for developing countries vote

DESC-ILLEGAL FISHING VOTE,illegal fishing vote

COUNTRY STRATEGY PAPERS MALAYSIUM BRAZIL AND PAKISTAN VOTE,country strategy papers malaysia brazil and pakistan vote

EC RUSSIUM DESC-SHORT STAY VISA AGREEMENT VOTE,ec russia short stay visa agreement vote

EC RUSSIUM READMISSION AGREEMENT VOTE,ec russia readmission agreement vote

DESC-COMMON ORGANIZATION MARKET IN WINE VOTE,common organisation of the market in wine vote

DESC-ECONOMIC POLICY GUIDELINE FOR 2007 VOTE,economic policy guidelines for 2007 vote

EIB DESC-ANNUAL REPORT 2005 VOTE,eib annual report 2005 vote

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 1.05 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 1.05 p.m. and resumed at 3 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DEBATE ON CASE BREACH DESC-HUMAN RIGHTS DEMOCRACY AND RULE LAW DEBATE,debate on cases of breaches of human rights democracy and the rule of law debate

DIALOGUE BETWEEN CHINESE GOVERNMENT AND ENVOY DALAUS LAMA VOTE,dialogue between the chinese government and envoys of the dalai lama vote

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

WRITE STATEMENT FOR ENTRY IN REGISTER RULE 116 SEE MINUTE,written statements for entry in the register rule 116 see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

ADJOURNMENT SESSION,adjournment of session

X-I DECLARE SESSION EUROPEAN PARLIAMENT SUSPEND .,i declare the session of the european parliament suspended .

SIT BE DESC-CLOSE AT 4.25 DESC-P.M.,the sitting was closed at 4.25 p.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

WRITE STATEMENT RULE 116 SEE MINUTE,written statements rule 116 see minutes

DESC-ORAL QUESTION AND WRITE STATEMENT TABLE SEE MINUTE,oral questions and written statements tabling see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

PETITION SEE MINUTE,petitions see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

ACTION TAKE ON PARLIAMENT X-POSS POSITION AND RESOLUTION SEE MINUTE,action taken on parliament's positions and resolutions see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

MEMBERSHIP DESC-POLITICAL GROUP SEE MINUTE,membership of political groups see minutes

SIGNATURE ACT ADOPT UNDER CODECISION SEE MINUTE,signature of acts adopted under codecision see minutes

NUMBER AND DESC-NUMERICAL STRENGTH DESC-INTERPARLIAMENTARY DELEGATION DEADLINE FOR TABLE AMENDMENT SEE MINUTE,number and numerical strength of interparliamentary delegations deadline for tabling amendments see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.10 DESC-P.M.,the sitting was closed at 11.10 p.m.

CLOSING SESSION,closing of the session

X-I DECLARE 2006 2007 SESSION EUROPEAN PARLIAMENT ADJOURN .,i declare the 2006 2007 session of the european parliament adjourned .

OPEN SESSION,opening of the session

X-I DECLARE 2007 2008 SESSION EUROPEAN PARLIAMENT DESC-OPEN .,i declare the 2007 2008 session of the european parliament open .

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

ACTION TAKE ON PARLIAMENT X-POSS POSITION AND RESOLUTION SEE MINUTE,action taken on parliament's positions and resolutions see minutes

FINANCING INTERVENTION BY EAGGF GUARANTEE SECTION VOTE,financing of interventions by the eaggf  guarantee section vote

DRINKING MILK PRODUCE IN ESTONIUM VOTE,drinking milk produced in estonia vote

REPEAL REGULATION EC NO 2040 2000 ON DESC-BUDGETARY DISCIPLINE VOTE,repeal of regulation ec no 2040 / 2000 on budgetary discipline vote

PRUDENTIAL ASSESSMENT ACQUISITION AND INCREASE SHAREHOLDING VOTE,prudential assessment of acquisitions and increase of shareholdings vote

DESC-CORPORATE DESC-SOCIAL RESPONSIBILITY VOTE,corporate social responsibility vote

CROSS BORDER DESC-COLLECTIVE COPYRIGHT MANAGEMENT VOTE,cross border collective copyright management vote

THAT CONCLUDE VOTE .,that concludes the vote .

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE SUSPEND AT 11.20 DESC-P.M.,the sitting was suspended at 11.20 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9 DESC-A.M.,the sitting was opened at 9 a.m.

NUMBER AND DESC-NUMERICAL STRENGTH DESC-INTERPARLIAMENTARY DELEGATION VOTE,2 . number and numerical strength of the interparliamentary delegations vote

MARKETING MEAT DESC-BOVINE ANIMAL AGE 12 MONTH OR DESC-LESS VOTE,marketing of the meat of bovine animals aged 12 months or less vote

RATIFICATION ILO X-POSS 2006 DESC-CONSOLIDATED MARITIME LABOR CONVENTION VOTE,ratification of the ilo's 2006 consolidated maritime labour convention vote

DESC-SOCIAL SERVICE DESC-GENERAL INTEREST VOTE,social services of general interest vote

EC X-WE AIR TRANSPORT AGREEMENT VOTE,ec us air transport agreement vote

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 1.10 DESC-P.M. AND RESUME AT 3.00 DESC-P.M.,the sitting was suspended at 1.10 p.m. and resumed at 3.00 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

APPOINTMENT TO DESC-INTERPARLIAMENTARY DELEGATION PROPOSAL BY CONFERENCE PRESIDENT SEE MINUTE,appointments to interparliamentary delegations proposal by the conference of presidents see minutes

HEPATITIS C WRITE STATEMENT SEE MINUTE,hepatitis c written statement see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.40 DESC-P.M.,the sitting was closed at 11.40 p.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

NOMINATION TO DESC-INTERPARLIAMENTARY DELEGATION VOTE,nominations to interparliamentary delegations vote

COMMUNITY ACTION ON PROVISION CROSS BORDER HEALTH CARE VOTE,community action on the provision of cross border health care vote

BOSNIUM HERZEGOVINA VOTE,bosnia herzegovina vote

NEGOTIATION EU DESC-CENTRAL AMERICA ASSOCIATION AGREEMENT VOTE,negotiation of an eu central america association agreement vote

DESC-REGIONAL POLICY ISLAND AND DESC-NATURAL AND DESC-ECONOMIC CONSTRAINT VOTE,regional policy islands and natural and economic constraints vote

DESC-LOCAL AUTHORITY AND DEVELOPMENT COOPERATION VOTE,local authorities and development cooperation vote

THAT CONCLUDE VOTE .,that concludes the vote .

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 12.55 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 12.55 p.m. and resumed at 3 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DEBATE ON CASE BREACH DESC-HUMAN RIGHTS  DEMOCRACY AND RULE LAW DEBATE,debates on cases of breaches of human rights  democracy and the rule of law debate

CAMBODIUM VOTE,cambodia vote

NIGERIUM VOTE,nigeria vote

THAT CONCLUDE VOTE .,that concludes the vote .

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE,communication of council common positions see minutes

WRITE STATEMENT FOR ENTRY IN REGISTER RULE 116 SEE MINUTE,written statements for entry in the register rule 116 see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

WRITE STATEMENT RULE 116 SEE MINUTE,written statements rule 116 see minutes

DESC-ORAL QUESTION AND WRITE STATEMENT TABLE SEE MINUTE,oral questions and written statements tabling see minutes

ACTION TAKE ON PARLIAMENT X-POSS RESOLUTION SEE MINUTE,action taken on parliament's resolutions see minutes

AGENDA SEE MINUTE,agenda see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 12.05 DESC-A.M.,the sitting was closed at 12.05 a.m.

OPEN SIT,opening of the sitting

MEMBERSHIP DESC-POLITICAL GROUP SEE MINUTE,membership of political groups see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

SIT BE DESC-OPEN AT 9.10 DESC-A.M.,the sitting was opened at 9.10 a.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

COMMUNITY PARTICIPATION IN CAPITAL INCREASE EUROPEAN INVESTMENT FUND VOTE,community participation in the capital increase of the european investment fund vote

REQUEST FOR DEFENSE IMMUNITY GIUSEPPE GARGANUS VOTE,request for defence of the immunity of giuseppe gargani vote

COMPLIANCE WITH OBLIGATION FLAG STATE VOTE,compliance with the obligations of flag states vote

DESC-CIVIL LIABILITY AND DESC-FINANCIAL GUARANTEE SHIPOWNER VOTE,civil liability and financial guarantees of shipowners vote

SECURITY AT FOOTBALL MATCH VOTE,security at football matches vote

FUTURE KOSOVO AND ROLE EU VOTE,the future of kosovo and the role of the eu vote

FUTURE EUROPEAN UNION X-POSS DESC-OWN RESOURCE VOTE,the future of the european union's own resources vote

FUTURE DESC-PROFESSIONAL FOOTBALL IN EUROPE VOTE,future of professional football in europe vote

INTEGRATION DESC-NEW MEMBER STATE IN CAP VOTE,the integration of new member states in the cap vote

THAT CONCLUDE VOTE .,that concludes the vote .

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE,communication of council common positions see minutes

MEMBERSHIP DESC-INTERPARLIAMENTARY DELEGATION SEE MINUTE,membership of interparliamentary delegations see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

DESC-ORAL QUESTION AND WRITE STATEMENT TABLE SEE MINUTE,oral questions and written statements tabling see minutes

WRITE STATEMENT RULE 116 SEE MINUTE,written statements rule 116 see minutes

ACTION TAKE ON PARLIAMENT X-POSS RESOLUTION SEE MINUTE,action taken on parliament's resolutions see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

SIGNATURE ACT ADOPT UNDER CODECISION SEE MINUTE,signature of acts adopted under codecision see minutes

DECLARATION DESC-FINANCIAL INTEREST SEE MINUTE,declaration of financial interests see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 00.05 DESC-A.M.,the sitting was closed at 00.05 a.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9 DESC-A.M.,the sitting was opened at 9 a.m.

EC MALAYSIUM AGREEMENT ON DESC-CERTAIN ASPECT AIR SERVICE VOTE,ec malaysia agreement on certain aspects of air services vote

REPORT COSTA,report costa

TARIFF QUOTA FOR IMPORT INTO BULGARIUM AND ROMANIUM DESC-RAW CANE SUGAR VOTE,tariff quotas for imports into bulgaria and romania of raw cane sugar vote

REPORT GRAEFE ZU BARINGDORF,report graefe zu baringdorf

WAIVER IMMUNITY VURAL à?GER VOTE,4 . waiver of the immunity of vural öger vote

REPORT SPERONUS,report speroni

DISCHARGE 2005 SECTION IV  COURT JUSTICE VOTE,discharge 2005 section iv  court of justice vote

REPORT CASPARY,report caspary

DISCHARGE 2005 SECTION V  COURT AUDITOR VOTE,discharge 2005 section v  court of auditors vote

REPORT CASPARY,report caspary

DISCHARGE 2005 SECTION VI  EUROPEAN DESC-ECONOMIC AND DESC-SOCIAL COMMITTEE VOTE,discharge 2005 section vi  european economic and social committee vote

REPORT CASPARY,report caspary

DISCHARGE 2005 SECTION VIIUM  EUROPEAN OMBUDSMAN VOTE,discharge 2005 section viiia  european ombudsman vote

REPORT CASPARY,report caspary

DISCHARGE 2005 SECTION VIIUS B  EUROPEAN DATUM PROTECTION SUPERVISOR VOTE,discharge 2005 section viii b  european data protection supervisor vote

REPORT CASPARY,report caspary

DISCHARGE 2005 DESC-6TH  7TH  DESC-8TH AND DESC-9TH EDF VOTE,discharge 2005 6th  7th  8th and 9th edfs vote

REPORT CAMRE,report camre

DISCHARGE 2005 EUROPEAN CENTER FOR DEVELOPMENT DESC-VOCATIONAL TRAINING VOTE,discharge 2005 european centre for the development of vocational training vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN FOUNDATION FOR IMPROVEMENT DESC-LIVE AND WORK CONDITION VOTE,discharge 2005 european foundation for the improvement of living and working conditions vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN MONITORING CENTER ON RACISM AND XENOPHOBIA VOTE,discharge 2005 european monitoring centre on racism and xenophobia vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN MONITORING CENTER FOR DRUG AND DRUG ADDICTION VOTE,discharge 2005 european monitoring centre for drugs and drug addiction vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN ENVIRONMENT AGENCY VOTE,discharge 2005 european environment agency vote

REPORT HERCZOG,report herczog

DISCHARGE 2005 EUROPEAN AGENCY FOR SAFETY AND HEALTH AT WORK VOTE,discharge 2005 european agency for safety and health at work vote

REPORT HERCZOG,report herczog

